tree_idx,n_tips,true_R0,true_d,true_lambda,mle_R0,mle_d,mle_lambda
1097,421,1.17391,3.10559,3.6456831568999997,2.0,4.553764551184157,9.107529102368314
1098,230,1.23765,3.08642,3.8199077129999996,2.0,2.848273882114649,5.696547764229298
1099,236,1.00185,1.85185,1.8552759224999997,1.0971035693264277,0.43157820333148156,0.47348598731845515
11,154,1.64497,2.95858,4.8667753426,2.0,3.1945609156922594,6.389121831384519
110,474,1.04627,2.57069,2.6896358263,1.0533810392110419,0.5541563570774725,0.5837377993036731
1100,145,2.24,3.07692,6.8923008,2.0,3.4553145144036823,6.910629028807365
1101,466,1.30608,1.90114,2.4830409311999997,2.0,5.0,10.0
1102,105,2.70877,3.50877,9.5044509129,2.0,5.0,10.0
1103,163,1.73892,2.46305,4.283046906,2.0,5.0,10.0
1104,382,1.48224,1.86916,2.7705437184,2.0,5.1085075741695265,10.217015148339053
1105,173,2.06542,4.6729,9.651501118,2.0,4.443812663859172,8.887625327718345
1106,101,1.0,1.77305,1.77305,1.2008255203544023,0.35202262731695794,0.4227177546244098
1107,496,1.96755,2.94985,5.8039773675,2.0,5.0,10.0
1108,336,1.26481,1.85185,2.3422383985,2.0,4.486314385808231,8.972628771616462
1109,223,1.07733,1.75747,1.8933751551,2.0,4.52968781566262,9.05937563132524
111,486,1.1704,1.72117,2.0144573680000004,2.0,5.0,10.0
1110,303,1.51765,1.96078,2.975777767,2.0,5.1785055689757264,10.357011137951453
1111,424,2.2536,2.88184,6.494514624,2.0,5.0,10.0
1112,177,1.33101,3.48432,4.6376647632,2.0,3.40188755633814,6.80377511267628
1113,138,1.05956,1.38504,1.4675329824,1.1538018570624553,0.4870175038130065,0.5619217003213683
1114,478,1.53659,2.21729,3.4070656411,2.0,5.0,10.0
1115,358,1.88571,2.85714,5.387737469399999,2.0,5.0,10.0
1116,465,1.03673,4.08163,4.231548269899999,1.05426835738571,0.3138848140580106,0.3309188273252578
1117,487,2.09217,4.60829,9.6413260893,2.0,5.0,10.0
1118,480,1.50746,2.98507,4.4998736222,2.0,5.0,10.0
1119,140,1.79009,2.91545,5.218917890499999,2.0,4.828510616929144,9.657021233858288
112,180,1.6413,2.17391,3.5680384829999996,1.122465225954402,0.7663507703635359,0.8602020906164363
1120,175,1.49702,2.97619,4.4554159538,2.0,3.5338259944484203,7.0676519888968405
1121,472,1.65156,2.83286,4.6786382616,2.0,5.0,10.0
1122,265,1.25581,1.78891,2.2465310671000003,2.0,5.0,10.0
1123,371,2.65371,3.53357,9.3770700447,2.0,5.0,10.0
1124,132,3.26891,4.20168,13.734913768799998,2.0,4.472310704706064,8.944621409412129
1125,460,1.02149,1.65289,1.6884106061,1.0547751827406613,0.6697631625012703,0.7064495621202407
1126,132,2.89862,4.60829,13.357681559800001,2.0,5.0,10.0
1127,366,2.89316,4.2735,12.363919260000001,2.0,5.0,10.0
1128,294,1.47901,1.9084,2.822542684,2.0,5.0,10.0
1129,198,1.12242,1.58983,1.7844569886000001,1.1128624316962885,0.6631766882393897,0.7380244219183787
113,177,1.57621,3.71747,5.859513388700001,2.0,2.6814502055939067,5.362900411187813
1130,140,2.78571,4.20168,11.704661992799998,2.0,4.030005788067026,8.060011576134052
1131,252,1.12392,1.72117,1.9344573864,1.0917971757854137,0.8060725957174357,0.8800677834823138
1132,477,1.7622,3.04878,5.372560116,2.0,5.0,10.0
1133,413,2.69039,3.55872,9.5743447008,2.0,5.0,10.0
1134,345,1.03661,2.28833,2.3721057613000003,1.070126829429925,0.575691144871701,0.6160625395924371
1135,248,1.35688,1.81159,2.4581102392000003,1.0930641960151504,0.8464632028002612,0.9252386202252767
1136,126,1.33523,2.84091,3.7932682593,1.1662989253614957,0.4560029092274292,0.5318357029936663
1137,178,1.47537,2.46305,3.6339100785,2.0,4.353243039722719,8.706486079445439
1138,366,1.00894,1.49031,1.5036333713999999,2.0,4.116284599053434,8.232569198106868
1139,456,2.76923,3.4965,9.682612695,2.0,5.0,10.0
114,232,2.87179,3.663,10.51936677,2.0,5.0,10.0
1140,346,1.24335,3.80228,4.727564838,2.0,2.8841855140132084,5.768371028026417
1141,174,1.09479,1.57978,1.7295273461999998,2.0,4.178648119629719,8.357296239259439
1142,216,1.07569,2.29358,2.4671810702,1.104756014423851,0.4835974769583417,0.5342572212299277
1143,250,1.60324,2.02429,3.2454226996,2.0,4.154017192756023,8.308034385512046
1144,219,1.78571,2.55102,4.5553819242,2.0,5.0,10.0
1145,251,1.3056,1.69779,2.216634624,2.0,4.204062086454494,8.408124172908988
1146,433,1.30638,2.12766,2.7795324708000004,2.0,5.0,10.0
1147,276,1.13478,2.17391,2.4669095897999997,1.084913399080714,0.5729710902162775,0.621624013061524
1148,345,1.16889,1.48148,1.7316871571999999,2.0,5.708483983638584,11.416967967277168
1149,444,1.71467,2.66667,4.5724590489,2.0,5.0,10.0
115,366,1.7,3.0303,5.15151,2.0,5.0,10.0
1150,461,1.45726,4.2735,6.2276006100000005,2.0,4.063016128640487,8.126032257280974
1151,336,1.50096,1.91205,2.8699105680000003,2.0,5.1490048130024695,10.298009626004939
1152,372,1.93009,3.03951,5.8665278559,2.0,5.0,10.0
1153,499,1.02983,1.29702,1.3357101066000001,1.0510721578792253,0.8440088587200414,0.8871142124040561
1154,471,1.87611,4.42478,8.3013740058,2.0,5.0,10.0
